DATE,ICSA
1996-04-01,359250.000000000000
1996-05-01,344500.000000000000
1996-06-01,342200.000000000000
1996-07-01,337000.000000000000
1996-08-01,331800.000000000000
1996-09-01,342750.000000000000
1996-10-01,339000.000000000000
1996-11-01,336400.000000000000
1996-12-01,353500.000000000000
1997-01-01,339000.000000000000
1997-02-01,320750.000000000000
1997-03-01,319400.000000000000
1997-04-01,327000.000000000000
1997-05-01,323800.000000000000
1997-06-01,325500.000000000000
1997-07-01,320250.000000000000
1997-08-01,330200.000000000000
1997-09-01,315250.000000000000
1997-10-01,310000.000000000000
1997-11-01,314600.000000000000
1997-12-01,313250.000000000000
1998-01-01,321200.000000000000
1998-02-01,319000.000000000000
1998-03-01,315000.000000000000
1998-04-01,311000.000000000000
1998-05-01,311200.000000000000
1998-06-01,338000.000000000000
1998-07-01,333000.000000000000
1998-08-01,312600.000000000000
1998-09-01,304000.000000000000
1998-10-01,310600.000000000000
1998-11-01,316000.000000000000
1998-12-01,316000.000000000000
1999-01-01,326200.000000000000
1999-02-01,301500.000000000000
1999-03-01,302750.000000000000
1999-04-01,308500.000000000000
1999-05-01,301600.000000000000
1999-06-01,294000.000000000000
1999-07-01,298000.000000000000
1999-08-01,290750.000000000000
1999-09-01,289500.000000000000
1999-10-01,290400.000000000000
1999-11-01,281750.000000000000
1999-12-01,278500.000000000000
2000-01-01,288400.000000000000
2000-02-01,293750.000000000000
2000-03-01,274750.000000000000
2000-04-01,271600.000000000000
2000-05-01,282250.000000000000
2000-06-01,291000.000000000000
2000-07-01,295000.000000000000
2000-08-01,312750.000000000000
2000-09-01,300200.000000000000
2000-10-01,301000.000000000000
2000-11-01,334250.000000000000
2000-12-01,346000.000000000000
2001-01-01,340000.000000000000
2001-02-01,371250.000000000000
2001-03-01,387200.000000000000
2001-04-01,396750.000000000000
2001-05-01,394500.000000000000
2001-06-01,397200.000000000000
2001-07-01,398000.000000000000
2001-08-01,398000.000000000000
2001-09-01,435000.000000000000
2001-10-01,480750.000000000000
2001-11-01,447500.000000000000
2001-12-01,416800.000000000000
2002-01-01,408500.000000000000
2002-02-01,399000.000000000000
2002-03-01,415400.000000000000
2002-04-01,429250.000000000000
2002-05-01,409000.000000000000
2002-06-01,387200.000000000000
2002-07-01,386000.000000000000
2002-08-01,393600.000000000000
2002-09-01,409500.000000000000
2002-10-01,407500.000000000000
2002-11-01,392200.000000000000
2002-12-01,414250.000000000000
2003-01-01,395000.000000000000
2003-02-01,411000.000000000000
2003-03-01,427400.000000000000
2003-04-01,436250.000000000000
2003-05-01,424000.000000000000
2003-06-01,421750.000000000000
2003-07-01,411500.000000000000
2003-08-01,400200.000000000000
2003-09-01,395500.000000000000
2003-10-01,382000.000000000000
2003-11-01,363000.000000000000
2003-12-01,358250.000000000000
2004-01-01,360200.000000000000
2004-02-01,360750.000000000000
2004-03-01,342000.000000000000
2004-04-01,348250.000000000000
2004-05-01,336200.000000000000
2004-06-01,349000.000000000000
2004-07-01,343000.000000000000
2004-08-01,340750.000000000000
2004-09-01,337250.000000000000
2004-10-01,334000.000000000000
2004-11-01,328750.000000000000
2004-12-01,325250.000000000000
2005-01-01,343400.000000000000
2005-02-01,311750.000000000000
2005-03-01,332000.000000000000
2005-04-01,323200.000000000000
2005-05-01,327000.000000000000
2005-06-01,325750.000000000000
2005-07-01,324400.000000000000
2005-08-01,315750.000000000000
2005-09-01,382750.000000000000
2005-10-01,352200.000000000000
2005-11-01,317250.000000000000
2005-12-01,316400.000000000000
2006-01-01,295750.000000000000
2006-02-01,290750.000000000000
2006-03-01,301750.000000000000
2006-04-01,303600.000000000000
2006-05-01,332750.000000000000
2006-06-01,305500.000000000000
2006-07-01,318800.000000000000
2006-08-01,314250.000000000000
2006-09-01,316200.000000000000
2006-10-01,315500.000000000000
2006-11-01,326250.000000000000
2006-12-01,324000.000000000000
2007-01-01,317250.000000000000
2007-02-01,322750.000000000000
2007-03-01,309400.000000000000
2007-04-01,320250.000000000000
2007-05-01,304250.000000000000
2007-06-01,315200.000000000000
2007-07-01,313250.000000000000
2007-08-01,320000.000000000000
2007-09-01,313400.000000000000
2007-10-01,328250.000000000000
2007-11-01,336000.000000000000
2007-12-01,348200.000000000000
2008-01-01,338750.000000000000
2008-02-01,346750.000000000000
2008-03-01,363400.000000000000
2008-04-01,359500.000000000000
2008-05-01,366800.000000000000
2008-06-01,383250.000000000000
2008-07-01,398000.000000000000
2008-08-01,433000.000000000000
2008-09-01,464000.000000000000
2008-10-01,475250.000000000000
2008-11-01,519800.000000000000
2008-12-01,564000.000000000000
2009-01-01,572000.000000000000
2009-02-01,644000.000000000000
2009-03-01,659250.000000000000
2009-04-01,627750.000000000000
2009-05-01,612000.000000000000
2009-06-01,598250.000000000000
2009-07-01,566500.000000000000
2009-08-01,559200.000000000000
2009-09-01,547500.000000000000
2009-10-01,525400.000000000000
2009-11-01,494000.000000000000
2009-12-01,485500.000000000000
2010-01-01,479800.000000000000
2010-02-01,485750.000000000000
2010-03-01,470250.000000000000
2010-04-01,469000.000000000000
2010-05-01,459400.000000000000
2010-06-01,460500.000000000000
2010-07-01,459200.000000000000
2010-08-01,475000.000000000000
2010-09-01,453500.000000000000
2010-10-01,446800.000000000000
2010-11-01,426250.000000000000
2010-12-01,420250.000000000000
2011-01-01,426800.000000000000
2011-02-01,401500.000000000000
2011-03-01,406000.000000000000
2011-04-01,420600.000000000000
2011-05-01,422500.000000000000
2011-06-01,418250.000000000000
2011-07-01,412600.000000000000
2011-08-01,409500.000000000000
2011-09-01,417750.000000000000
2011-10-01,402400.000000000000
2011-11-01,389250.000000000000
2011-12-01,377000.000000000000
2012-01-01,377750.000000000000
2012-02-01,363250.000000000000
2012-03-01,366600.000000000000
2012-04-01,381750.000000000000
2012-05-01,373500.000000000000
2012-06-01,379200.000000000000
2012-07-01,372500.000000000000
2012-08-01,373250.000000000000
2012-09-01,381800.000000000000
2012-10-01,368500.000000000000
2012-11-01,401250.000000000000
2012-12-01,359000.000000000000
2013-01-01,353000.000000000000
2013-02-01,353000.000000000000
2013-03-01,351800.000000000000
2013-04-01,347250.000000000000
2013-05-01,347750.000000000000
2013-06-01,344600.000000000000
2013-07-01,346000.000000000000
2013-08-01,333400.000000000000
2013-09-01,314000.000000000000
2013-10-01,358500.000000000000
2013-11-01,328200.000000000000
2013-12-01,346000.000000000000
2014-01-01,326750.000000000000
2014-02-01,335250.000000000000
2014-03-01,321000.000000000000
2014-04-01,322750.000000000000
2014-05-01,313800.000000000000
2014-06-01,313500.000000000000
2014-07-01,301750.000000000000
2014-08-01,302000.000000000000
2014-09-01,295000.000000000000
2014-10-01,288750.000000000000
2014-11-01,291600.000000000000
2014-12-01,284500.000000000000
2015-01-01,287600.000000000000
2015-02-01,301250.000000000000
2015-03-01,284000.000000000000
2015-04-01,286000.000000000000
2015-05-01,274000.000000000000
2015-06-01,273750.000000000000
2015-07-01,277750.000000000000
2015-08-01,275200.000000000000
2015-09-01,269500.000000000000
2015-10-01,267000.000000000000
2015-11-01,268500.000000000000
2015-12-01,271000.000000000000
2016-01-01,279400.000000000000
2016-02-01,267250.000000000000
2016-03-01,264250.000000000000
2016-04-01,265200.000000000000
2016-05-01,275250.000000000000
2016-06-01,265250.000000000000
2016-07-01,260600.000000000000
2016-08-01,264500.000000000000
2016-09-01,252250.000000000000
2016-10-01,256600.000000000000
2016-11-01,247750.000000000000
2016-12-01,251000.000000000000
2017-01-01,246750.000000000000
2017-02-01,239250.000000000000
2017-03-01,250250.000000000000
2017-04-01,241800.000000000000
2017-05-01,239750.000000000000
2017-06-01,240500.000000000000
2017-07-01,244800.000000000000
2017-08-01,240500.000000000000
2017-09-01,270200.000000000000
2017-10-01,237250.000000000000
2017-11-01,240250.000000000000
2017-12-01,237600.000000000000
2018-01-01,234500.000000000000
2018-02-01,220000.000000000000
2018-03-01,226000.000000000000
2018-04-01,222000.000000000000
2018-05-01,221250.000000000000
2018-06-01,221400.000000000000
2018-07-01,216250.000000000000
2018-08-01,215250.000000000000
2018-09-01,212600.000000000000
2018-10-01,215500.000000000000
2018-11-01,222250.000000000000
2018-12-01,219600.000000000000
2019-01-01,220250.000000000000
2019-02-01,225000.000000000000
2019-03-01,217800.000000000000
2019-04-01,215500.000000000000
2019-05-01,218250.000000000000
2019-06-01,221000.000000000000
2019-07-01,213750.000000000000
2019-08-01,216200.000000000000
2019-09-01,213000.000000000000
2019-10-01,215000.000000000000
2019-11-01,214800.000000000000
2019-12-01,226000.000000000000
2020-01-01,212750.000000000000
2020-02-01,211400.000000000000
2020-03-01,2666750.000000000000
2020-04-01,5040250.000000000000
2020-05-01,2465800.000000000000
2020-06-01,1499000.000000000000
2020-07-01,1368750.000000000000
